Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere
Portrait par lui-meme d'un peintre aveugle,1/1/1960,,61,38,isorel,huile
la nuit on est tranquille,8/3/1966,,38,61,isorel,huile
Colere,1/1/1960,,55,33,isorel,huile
sans,1/1/1960,South Salem,42.5,58,toile,huile
oignon et verre de vin,1/1/1960,South Salem,42.5,58,toile,huile
Femme assise à la chaise,1/1/1960,South Salem,58,43,toile,huile
Portrait de sa femme,1/1/1947,Waccabuc N-Y,37.5,31,carton,huile
Nature morte au livre,1/1/1960,"Ridgefield, Conn",65,54,toile,huile
Il dort,6/20/1969,Paris,80.5,65,toile,huile
Zénon ! Cruel Zénon ! Zénon d’Êlée !,8/1/1975,Franval,93,65,toile,huile
Le passeur des jours futurs - La mort d'une étoile,1/1/1977,Franval,100,65,toile,huile
Sans,1/1/1960,,65,100,toile,huile
A disconfiada,4/1/1975,Paris,100,65,toile,huile
Il faudrait savoir,1/1/1960,Paris,92,65,toile,huile
Zone,1/1/1960,Fontainebleau,65,81,toile,huile
Sans,1/1/1960,Paris,65,91.5,toile,huile
Sans,9/1/1952,Nice,73,92,toile,huile
Sans titre,8/1/1952,Nice,73,92,toile,huile
Sans,1/1/1960,Nice,73,92,toile,huile
"Essayez de rire, vous verrez comme c'est drôle",6/1/1975,Paris,73,92,toile,huile
Je suis l'inconsole,1/1/1960,,92,73,toile,huile
La licorne et le capricorne - Paysage du Val,1/1/1974,,73,92,toile,huile
O mon souverain roi,6/1/1962,Paris,92,73,toile,huile
Sans,1/1/1960,Nice,73,92,toile,huile
Sans titre,1/1/1960,Nice,73,92,toile,huile
Sans titre,1/1/1960,Nice,73,92,toile,huile
Feu,12/1/1957,,91.5,65,toile,huile
Le feu sur les eaux,1/1/1960,Fontainebleau,60,73,toile,huile
C'est ainsi que j'ai ete cree - Eloge de la folie,1/1/1960,,60,73,toile,huile
Mater Dei,2/1/1963,Paris,73,60,toile,huile
La maison où mourut mon espoir,2/1/1963,Paris,60,73,toile,huile
Destruction de la ville,1/1/1960,Fontainebleau,60,73,toile,huile
La grande allee,1/1/1960,Fontainebleau,60,73,toile,huile
L'horreur de ne pas être,1/1/1960,Fontainebleau,73,60,toile,huile
Per me si va,9/1/1960,Paris,60,92.5,toile,huile
Vendredi Saint dans la matinee,1/1/1960,,73,60,toile,huile
La naissance du souvenir,1/1/1960,,73,60,toile,huile
Il fait beau ce matin,1/1/1960,,73,60,toile,huile
Souvenir de vacances à la campagne,1/1/1960,,60,73,toile,huile
Secundum magnum bonitatem tuum,1/1/1969,,60,81,toile,huile
Alcools,1/1/1960,"Waccabuc, NY",49,68,toile sur carton,huile
Sans titre - Nice Composition,1/1/1950,Nice,81,60,toile,huile
Sans,1/1/1960,,65,50,,
Sans,1/1/1960,,61,51,isorel,huile
Sans,1/1/1960,,65,50,toile,huile
Sans,1/1/1960,,81,45,toile,huile
Sans,1/1/1960,La Thibaudiere?,65,50,toile,huile
"Enfin, Paris",5/1/1956,Paris,54,81,toile,huile
Histoire de faire plaisir,6/1/1976,,54,65,toile,huile
Hypostase d'un peintre singulier… et peut-etre universel,6/8/1967,Paris,73,54,toile,huile
Flammes horizontales,11/15/1959,Paris,54,73,toile,huile
A la mémoire d'un cousin tué le 16 avril 1967,5/6/1967,,54,73,toile,huile
"Un peu de manichéisme, où le Bien triomphe",7/14/1967,,73,54,toile,huile
Doom,1/1/1960,,54,73,toile,huile
Sans,1/1/1960,,65,54,toile,huile
Oranges et bananes,1/1/1960,Paris,54,65,toile,huile
Ascendance à la nuit,1/1/1960,,81,54,toile,huile
Plus difficile à dire qu'à faire,1/1/1960,,81,54,toile,huile
Sans,1/1/1960,,55,46,toile,huile
Sans,1/1/1960,Paris,55,46,toile,huile
Ecce sanguinis meae,1/1/1960,,50,65,toile,huile
"C'est moi qui t'ai peint, mon pote",1/1/1960,,50,73,toile,huile
"Mon Dieu, faites que je ne perde pas la vue",6/9/1967,,45.5,60.5,toile,huile
Portrait d'un prince,1/1/1960,,73,50,toile,huile
En le saint jour de la pentecôte,5/14/1967,,50,73,toile,huile
La debâcle,1/1/1960,,50,73,toile,huile
Peintre pauvre vient d'etre crucifié,1/1/1960,,73,50,toile,huile
Fuite devant le jour,1/1/1960,,50,73,toile,huile
Peinture abstraite avec couronne,1/1/1960,Fontainebleau,73,50,toile,huile
Le lendemain de la souffrance,1/1/1960,,65,53,toile,huile
L'ile,1/1/1960,Fontainebleau,61,50,toile,huile
La gloire du matin,1/1/1960,Fontainebleau,50,61,toile,huile
Avant l'horreur,12/1/1966,,65,46,toile,huile
Le demon pris à son piège,1/1/1960,,65,46,toile,huile
A la mémoire de mon ami qui est mort le 25 décembre 1936,1/9/1967,Paris,60.5,38,,
Sans,1/1/1960,,55,46,toile,huile
Sans,1/1/1960,,71,59,toile,huile
Sans,1/1/1960,Montlaur,48,63,toile,huile
Maguelone,1/1/1960,Maguelone,48,36,toile,huile
Sans titre,1/1/1960,,53.5,36.5,toile,huile
Sans,1/1/1960,,41,29.5,bois,huile
sans,1/1/1960,,40,28,bois,huile
Sans,1/1/1960,,46,38,toile,huile
Sans,1/1/1960,,41,33,toile,huile
Sans,1/1/1960,,46,38,carton,huile
Sans,1/1/1960,,46,38,toile,huile
Sans,1/1/1932,,46,38,toile,huile
Sans,1/1/1960,,46,38,toile,huile
Sans - La Thibaudière,1/1/1960,,24,33,toile,huile
Sans,1/1/1960,vers 1931-32,24,33,toile,huile
Portrait de quelqu'un **** de patience,3/19/1968,,33,24,toile,huile
Portrait Elizabeth,3/1/1968,,33,24,toile,huile
Sans,1/1/1960,,37,30,papier sur toile,huile
XII/44   VII/45,1/1/1969,,37,30,papier marouflé,huile
Sans,1/1/1960,Franval,61,50,toile,encre de chine
havoc,1/1/1960,,33,46,toile,huile
Composition abstraite (oeuvre posthume),2/10/1968,,33,24,toile,huile
Sans,1/1/1960,,55,46,isorel,huile
Avant le deluge,1/1/1960,,55,46,isorel,huile
Sans,7/1/1961,,55,46,isorel,huile
Sans,1/1/1960,,46,55,isorel,huile
Portrait d'Henri Bouvier,7/31/1972,Rotheneuf,55,46,papier sur bois,huile
La nuit du 14 au 15 aout,8/15/1972,Rotheneuf,46,55,papier sur bois,huile
Hommage a Mr Coué,7/4/1972,Rothéneuf,46,55,papier sur bois,huile
Essai de possession de soi,7/10/1972,Rotheneuf,46,55,papier sur bois,huile
Une figuration de la paix quand on ne sait pas l'exprimer,8/11/1966,Dinard,38,61,isorel,huile
En memoire de ce que je ne saurais dire,7/3/1966,Dinard,61,38,isorel,huile
Du sang sur la route,8/1/1966,Dinard,61,38,isorel,huile
A la memoire de ma tante qui est morte en décembre 1944 au camp de Ravensbrück,1/1/1960,Dinard,61,38,isorel,huile
Pale comprehension du depart,1/1/1960,Dinard,61,38,isorel,huile
On commence à comprendre,7/15/1966,Dinard,38,61,isorel,huile
Cauchemard d'une nuit d'ete,12/18/1966,Dinard,61,38,isorel,huile
Premonition de la mort,7/24/1966,dinard,38,61,isorel,huile
Coup de vent en Bretagne,8/1/1961,Dinard,38,61,isorel,huile
Sans,1/1/1960,Dinard,61,38,isorel,huile
Portrait de famille,1/1/1960,Dinard,61,38,isorel,huile
Ou sont mes amis morts ?,1/1/1960,,61,38,isorel,huile
Desordre (ou Sérénité),1/1/1960,,61,38,isorel,huile
Sans,1/1/1960,,61,38,isorel,huile
Le noeud gordien,1/1/1960,,38,61,isorel,huile
sans,7/9/1963,,38,61,isorel,huile
Portrait de femme,1/1/1960,,61,38,isorel,huile
Portrait du peintre,1/1/1960,,61,38,isorel,huile
C'est moi qui ai peint ca,10/1/1966,,50,59,papier sur isorel,huile
Les pignoufs vaincront,8/14/1966,,50,56.5,papier sur isorel,huile
Souvenir normand,7/26/1972,,46,55,papier sur bois,huile
L'ombre d'Anchise,1/1/1960,,61,38,isorel,huile
Le lit de Procuste,1/1/1960,,38,61,isorel,huile
La porte de l'enfer,1/1/1960,,61,38,isorel,huile
Poor Yorick,1/1/1960,,61,38,isorel,huile
"Je vous demande pardon, ma Mere Courage",8/25/1968,Dinard,38,55,papier sur bois,huile
Unfinished Landscape,7/15/1968,Dinard,38,55,papier sur bois,huile
"Je n'ai pas peur de vous, Madame",1/1/1960,Paris,38,55,isorel,huile
Zarathoustra avait oublie de Parler,7/23/1967,"Dinard, Paris",38,55,isorel,huile
Le tumulus du Mont des Lauriers,8/7/1967,Dinard,38,55,isorel,huile
Un sourire aimable de la part d'une non-entité,8/4/1967,Dinard   Paris,55,38,isorel,huile
Soyons raisonnable,1/1/1960,Dinard,55,38,isorel,huile
A l'improviste,1/1/1960,Dinard,55,38,isorel,huile
Un visiteur importun,1/1/1960,Dinard,38,55,isorel,huile
En souvenir de l'Allemagne europeenne,9/7/1971,,46,38,papier sur bois,huile
Pseudo-metabolisme,9/14/1971,,38,46,papier sur bois,huile
My castle at dusk,1/1/1960,Dinard,33,55,isorel,huile
Sans,1/1/1960,Dinard,55,33,isorel,huile
Le voile du temple est dechire en deux,1/1/1960,Dinard,55,38,isorel,huile
La nuit est mon bonheur,1/1/1960,Dinard,55,38,isorel,huile
Autoportrait,1/1/1960,Dinard,55,38,isorel,huile
C'est comme celui qui peint apres avoir vu un ami,1/1/1966,,55,38,isorel,huile
Peillon n°1,8/7/1957,,27,41,isorel,huile
O mon amour,1/1/1960,,60,92,toile,huile
Peinture agreste,1/1/1960,,60,92,toile,huile
Souvenir d'Issenheim,1/1/1960,"Paris, rue de Varenne",60,92,toile,huile
Descente de Croix,1/1/1960,,73,92,toile,huile
La promesse des fleurs,1/1/1960,,73,92,toile,huile
Transverbération ou Teresa,1/1/1960,Fontainebleau,81,65,toile,huile
Corrida d'epoque decouverte en 1976,6/1/1976,,162,97,toile,huile
Pour le Musee du Louvres,1/1/1960,Nice,195,92,,
Il y a plus d'un soleil qui fait saigner la terre,4/1/1967,,50,73,toile,huile
Le rêve de Berganza,2/1/1972,Paris,54.5,81,toile,huile
sans,1/1/1960,Nice,27,41,toile,huile
Auto-portrait sans indulgence,1/28/1969,,36,29,papier sur toile,huile
Le jugement de Paris d'apres Giuliano Romano,1/1/1960,,33,55,toile,huile
Voici venir l'automne,1/1/1960,,41,27,toile,huile
En souvenir de Sandro qui a essaye de m'apprendre la peinture,1/1/1960,,18,10.80000019,papier sur isorel,huile
For Holy Mary,1/1/1960,,11,30.5,papier sur isorel,huile
A longing to be with Thee,12/15/1967,,28,80,toile,huile
Souvenez-vous,12/11/1966,,61,46,toile,huile
A mon beau château,1/1/1960,,38,61,toile,huile
Le bord de la mer,1/1/1960,"Dinard, Saint Enogat",38,55,isorel,huile
Ma Désirade,1/1/1975,Paris,60,92,toile,huile
Le Courage,8/1/1976,Paris,54.5,65,toile,huile
Portrait de Monsieur Bertin peint par quelqu'un d'autre que Jean Dominique Ingres,1/1/1960,,46,61,toile,huile
En depit d'une adversite pecuniaire certaine,1/1/1960,,61,38,toile,huile
Hommage a Hieronymus Bosch,1/1/1960,Paris,33.5,55,toile,huile
On a brulé les ruches blanches,1/1/1960,,61,38,toile,huile
La Vierge quae est ista,5/1/1977,,195,114,toile,huile
Si j'avais envie d'etre mechant,1/1/1960,,29.5,63,isorel,huile
Au dessus du Pas de Calais au crepuscule,1/1/1960,,9,21.5,isorel,huile
L'étoile se lève claire sur un matin sale,1/1/1960,,55,46,papier sur bois,huile
"étude pour ""l'horreur de ne pas être""",1/1/1960,Fontainebleau,31.5,24,papier,gouache
sans,1/1/1960,,24,32,papier,huile
"étude pour,,,",1/1/1960,Nice,25,32.5,papier,gouache
